gauge_address,creator_address,internal_bribe_address,external_bribe_address,pool_address,contract_address,tx_hash,event_index,block_timestamp,block_number
0x3a8883381e4416488db94a8e0469394ecfa8a024,0xe247340f06fcb7eb904f16a48c548221375b5b96,0xc7e96612f75f46ed873fd8462e6bd55b78c40476,0x3c76fc93afe2aa604629af505e84b99e6f213c63,0xe2ea57fdf87624f4384ef6da5f3844e8e9e5d878,0x09236cff45047dbee6b921e00704bed6d6b8cf7e,0xc1aaa90b4b8af26b661f12601a0fc19b2a25f6b616c8d8382a35757242ddcccb,1,2022-06-01 22:37,10098636
0x0299d40e99f2a5a1390261f5a71d13c3932e214c,0xe247340f06fcb7eb904f16a48c548221375b5b96,0xab1f7519a3cb82113b42d270539fd4bd337533df,0xfb548e53c30c90c368e4ad929df98b8a5c4bf6be,0x47029bc8f5cbe3b464004e87ef9c9419a48018cd,0x09236cff45047dbee6b921e00704bed6d6b8cf7e,0x0b4a50d13450278fc7c30b0ee49d1a23255b8b1e88941d25af75925eaadb1bde,1,2022-06-01 20:55,10086242
0x461ba7fa5c2e94eb93e881b7c7e3a7dc4c1cd6b4,0xe247340f06fcb7eb904f16a48c548221375b5b96,0xf0d98a0d4cd604cc34a61bb9a0fb6172dc8fb85e,0x3bbcd67ebb4bcaafa1a6acf05e2c76a12fe34400,0xdee1856d7b75abf4c1bdf986da4e1c6c7864d640,0x09236cff45047dbee6b921e00704bed6d6b8cf7e,0x4a3ee6b2004b1948c341048267cd069160eb765c56c94a3ad91dc13ef52a4da5,1,2022-06-01 21:42,10091981
0xef9a5ff5d3057d539543bc223efccbc2168b19d6,0xe247340f06fcb7eb904f16a48c548221375b5b96,0xe1496c77ee2b73c75ec97b0851d2ee1126d8a078,0xc54ce67d0061f0b9f3db17a4f16e92551237b75f,0x6fd5bee1ddb4dbbb0b7368b080ab99b8ba765902,0x09236cff45047dbee6b921e00704bed6d6b8cf7e,0x5426f929cee049a4928b685e28f923560e8fb750b64531efadbad041c2123034,1,2022-06-01 23:55,10107680
0xb03f52d2db3e758dd49982defd6aeefea9454e80,0xe247340f06fcb7eb904f16a48c548221375b5b96,0xe815ee7344829cd15be49e1c85f517dee2301d98,0xb91dd4a3b464ce8eb329a5cfe367a02cfda6f62c,0xd16232ad60188b68076a235c65d692090caba155,0x09236cff45047dbee6b921e00704bed6d6b8cf7e,0x83e113ebf4c9e8a176949e46f827ac92058dab8e46c2f5d9f919a43ca6fac3fa,1,2022-06-01 21:43,10092199
0xc4ff55a961bc04b880e60219ccbbdd139c6451a4,0xe247340f06fcb7eb904f16a48c548221375b5b96,0x982aaabb39a581700a022ea6e04b46a5ca9aed22,0x92cda895205391962d833226825f41e2ca0a9a7a,0x4f7ebc19844259386dbddb7b2eb759eefc6f8353,0x09236cff45047dbee6b921e00704bed6d6b8cf7e,0x4423a959a25e088e9a88db4d3ebc63e4842d42b4d8520b91e299573a2e607d14,1,2022-06-01 21:45,10092439
0x05ef41da0b0c76b6e17be79bdaacf66306cbebb5,0xe247340f06fcb7eb904f16a48c548221375b5b96,0x22681707d87014552a3421d4153c7e585e109908,0xb917feb62953d6dfa96951d3f1a418001fd95ea7,0x43c3f2d0aa0ebc433d654bb6ebf67f0c03f8d8d9,0x09236cff45047dbee6b921e00704bed6d6b8cf7e,0xfe1c82affc116f645e38a24c9ca519f2c107c1b935ea6165eb2b07903b44522e,1,2022-06-01 21:47,10092635
0xfc4b6dea9276d906ad36828dc2e7dbacfc01b47f,0xe247340f06fcb7eb904f16a48c548221375b5b96,0x1653a58a6d7a06381c3886da503e590617785d75,0x97be754ae730f582d3145b08915c1db212e25a83,0x85ff5b70de43fee34f3fa632addd9f76a0f6baa9,0x09236cff45047dbee6b921e00704bed6d6b8cf7e,0xb0dad733fb7aeda51791979a4c6d0a5880f348cfedc9b523a25c3e59dde98105,1,2022-06-01 21:48,10092802
0x631dce3a422e1af1ad9d3952b06f9320e2f2ed72,0x9c0d72f2ac26420cb7eeb155bf401b672840e87b,0x242ac8f7182bc0ae8d92219385edb3293700ec3e,0x19e8a5e3490d64f0481a1f1f354eb1794baed18c,0x207addb05c548f262219f6bfc6e11c02d0f7fdbe,0x09236cff45047dbee6b921e00704bed6d6b8cf7e,0x5be7dc9d7bb6df923f3456656534e3fee0b62d6646dbd8f876a3d34e0874d9d9,1,2022-06-01 21:52,10093297
0x1f36f95a02c744f2b3cd196b5e44e749c153d3b9,0xe247340f06fcb7eb904f16a48c548221375b5b96,0x69ba94dfa76c90dae5231fdf77d4ccb8be76b4c0,0x9ac80dbaa1721fd421c1c5dc3da998b8cfdc1607,0xffd74ef185989bff8752c818a53a47fc45388f08,0x09236cff45047dbee6b921e00704bed6d6b8cf7e,0x0187878636b70d4acf3e3e0c4227e9845aaed0a4b3f8b8c6c21b19855bdf59de,1,2022-06-01 22:01,10094438
